frequency,resolution,clicks,x_err,t_err
1,1,32,2.7210328863444615,1.6342441128906986
1,2,104,0.6242318072888164,0.9273411956732072
1,3,125,0.45534139179784705,0.5756873532287228
1,4,128,0.3926394989733637,0.47965086232208504
1,5,124,0.39221500180336355,0.47042475375098874
1,10,138,0.3453217562784558,0.4218528855317795
1,20,154,0.2705814239014701,0.3902183885469558
1,50,186,0.33211021810707086,0.41251751614319654
1,100,208,0.32968770337670694,0.41823420635454417
2,1,54,0.8115754559069619,0.6936341126313769
2,2,150,0.4188298285609083,0.4218980398023752
2,3,178,0.360456941046931,0.3840006639535275
2,4,198,0.35564648445328856,0.3710151825859601
2,5,230,0.34255263734126257,0.36381632372096956
2,10,260,0.32104257463052754,0.35286744294844713
2,20,316,0.319467585960882,0.3528999119451252
2,50,346,0.3118249042694374,0.355919449790521
2,100,370,0.31550856476357486,0.35466883138180705
3,1,52,0.5368407776812519,0.4779346035514523
3,2,200,0.38803915430276553,0.38540173872819133
3,3,264,0.35885539542015304,0.3680349159539022
3,4,308,0.34282881793414144,0.3575812487177919
3,5,342,0.33455326608945546,0.3504090033498442
3,10,410,0.3222355262155849,0.3447872863406136
3,20,464,0.315485042395166,0.34079878153683973
3,50,472,0.31124220562268434,0.3370620820451397
3,100,502,0.3095210192410729,0.33751839680975865
4,1,66,0.4578923091989001,0.5010494595876177
4,2,248,0.39587504189075595,0.37972332795240177
4,3,364,0.3585255405075613,0.36344335845408504
4,4,422,0.3484556211209309,0.3554515868452747
4,5,462,0.3398638003487611,0.3492687415312304
4,10,552,0.3245258778412161,0.3450380502382448
4,20,596,0.3173144110850191,0.3422626424906491
4,50,638,0.31222635517435915,0.33760837010108297
4,100,676,0.31211185379761347,0.3403776264232797
5,1,68,0.5313354963087528,0.4270353528232218
5,2,346,0.3938249470552055,0.3771484525852249
5,3,456,0.3630727384018936,0.35908573626337903
5,4,512,0.3456676276759412,0.3536996643968822
5,5,570,0.3412338884484941,0.3457828901304758
5,10,688,0.32154413757922784,0.3398745123174953
5,20,712,0.31347740528848117,0.3373408004518907
5,50,778,0.3100953441336795,0.33494674319369927
5,100,848,0.3109555509007468,0.3366980066882446
6,1,64,0.5050596489435051,0.43353611192624497
6,2,418,0.3977976555727717,0.3826795469997785
6,3,532,0.3657953368844714,0.36128654224666273
6,4,602,0.3521236658660143,0.3517167808077397
6,5,702,0.3391193555221769,0.3528427154659939
6,10,784,0.3256410159084625,0.33792706501832487
6,20,864,0.31396345247976193,0.33780973117490176
6,50,890,0.31059755977504494,0.3354591394691442
6,100,946,0.310742363129329,0.33552369513948105
7,1,414,0.4382983982388233,0.542329201568017
7,2,816,0.25601171341163403,0.5093555919880753
7,3,828,0.3212677271740705,0.455727445420581
7,4,956,0.3156545453577202,0.44657561260963263
7,5,1272,0.3013025496357747,0.523494794583514
7,10,382,0.12015497077073536,0.0019431509464705537
7,20,1488,0.28355188037925405,0.5754959989929189
7,50,1416,0.21572306474486036,0.47171787099215917
7,100,1270,0.12542811844791635,0.15885954856418638
8,1,238,0.2600703166411156,0.42823513008282205
8,2,712,0.2112242820605344,0.3270915009864159
8,3,906,0.18354794577600522,0.30567718587071363
8,4,1326,0.1755439908053832,0.28013636997833896
8,5,1174,0.16325683019745943,0.2891280492416077
8,10,1314,0.2704945388228001,0.5619225007128893
8,20,1296,0.2424256617878674,0.5271807859353371
8,50,1426,0.1524126067043054,0.26837446584762775
8,100,1510,0.15943917714677586,0.27539809414474276
9,1,214,0.37544312969947274,0.617814668510209
9,2,758,0.33259133595775314,0.44132231691407464
9,3,922,0.1824324638183276,0.284038595017319
9,4,1402,0.3111667790856209,0.5749167621646242
9,5,1310,0.2813956245230956,0.6059372189918653
9,10,464,0.13193891791077283,0.0
9,20,1394,0.12538765687438633,0.13279586742747954
9,50,544,0.0980586049908348,1.5308426899635423e-05
9,100,1402,0.29662668566531253,0.6143499598115048
10,1,40,0.5718103366396141,0.0
10,2,176,0.3427445764952939,0.0
10,3,256,0.2466576917643791,0.0
10,4,328,0.20659641343557086,0.0
10,5,420,0.17483487886981516,0.0
10,10,528,0.13660806853021312,0.0
10,20,1266,0.31832733884328057,0.3345428655174473
10,50,536,0.09666287225728268,0.0
10,100,616,0.09418581319507884,0.0
