frequency,resolution,clicks,x_err,t_err
1,1,26,4.152074218033902,5368.263943196163
1,2,196,0.8211228004820865,337.18852357180333
1,3,186,0.7573810711438811,195.1168145588634
1,5,200,0.7257187809716457,149.63608102114955
1,10,182,0.7112941313899249,150.52427320825674
1,20,284,0.7052104331062774,144.51552591363617
2,1,76,1.055526117267317,549.4018885688043
2,2,240,0.7213715614773717,165.8915717714287
2,3,316,0.7007743947914561,149.95944829444616
2,5,388,0.6878841794542603,140.10080857571373
2,10,532,0.6777194241136334,142.04754857701707
2,20,608,0.6744043934638829,136.37536949175214
3,1,88,0.8020442564324979,312.4849506002752
3,2,328,0.7121325118962333,184.85506340170244
3,3,436,0.6856722296706295,150.656930055237
3,5,580,0.6757944859453262,133.98670355620484
3,10,808,0.6725089886469553,139.16526846887797
3,20,890,0.6711267605171075,124.66539403657553
4,1,94,0.8288939228147388,348.17512605303887
4,2,424,0.7084145058784564,176.5321105557192
4,3,586,0.6819502616531725,148.2586933763547
4,5,776,0.6702894620510076,131.06248742679435
4,10,992,0.6634786708632052,125.09393470351355
4,20,1182,0.6614597161294387,126.69645300466897
6,1,120,0.7933472982672779,360.4063194598176
6,2,688,0.7166681605220473,190.5943687035309
6,3,910,0.6780903100001279,151.74017420397584
6,5,1172,0.6693519773326854,136.38997671296045
6,10,1468,0.6594055440811589,124.97440704810705
6,20,1698,0.6573444557976733,126.02170747459553
7,1,124,0.8054043396290584,327.3874492749042
7,2,762,0.691415498105864,177.61773360423624
7,3,1000,0.674818043350995,133.58719809138333
7,5,1386,0.6611521722350581,134.7285563337698
7,10,1728,0.6585905202169319,127.91964488984753
7,20,1890,0.6577133175428225,122.2282112465167
8,1,158,0.8012200389622058,329.7083183204594
8,2,892,0.6887548665674368,168.25048995359427
8,3,1180,0.6734095684533985,150.13346922540728
8,5,1572,0.6576044724003307,127.37157212662537
8,10,1950,0.6589176707023638,122.25948993017026
8,20,2134,0.6560385848091549,123.70251726815454
9,1,166,0.7868041121583195,327.00240051881156
9,2,1002,0.6903915244455998,172.63361683716744
9,3,1370,0.6708844227398537,143.18264050419705
9,5,1754,0.6557540406922112,130.9319734342224
9,10,2132,0.6594095732877158,123.19114924560016
9,20,2352,0.6560730957531149,128.14752003422421
10,1,180,0.7903457322779153,318.98031820505037
10,2,1120,0.6898593497596434,176.92754426236067
10,3,1494,0.6780845231095447,146.7954015362019
10,5,1916,0.6606996527298534,128.11170823417618
10,10,2400,0.6584714501182859,121.81383314354156
10,20,2566,0.6552556877104738,124.28195226391266
1,4,192,0.7355960566448421,156.45236338931159
2,4,360,0.6911922141118466,149.80307418451048
3,4,518,0.6806164335979441,138.52330278099842
4,4,694,0.6718261170143766,131.64089791003994
6,4,1044,0.6691591933340476,142.47793837397901
7,4,1214,0.6702434131551892,135.05323621910875
8,4,1416,0.6636822100947873,137.1296354543029
9,4,1586,0.6588616239358228,135.33222990786513
10,4,1764,0.656613320766998,133.37010591026527
